project,bug,bug-introducing_changes,days
ActiveMQ,AMQ-3077,11,1700
ActiveMQ,AMQ-3081,1,0
ActiveMQ,AMQ-3084,2,6
ActiveMQ,AMQ-3085,1,0
ActiveMQ,AMQ-3092,2,348
ActiveMQ,AMQ-3094,5,1790
ActiveMQ,AMQ-3095,2,153
ActiveMQ,AMQ-3120,4,741
ActiveMQ,AMQ-3122,3,671
ActiveMQ,AMQ-3123,6,1827
ActiveMQ,AMQ-3124,6,1552
ActiveMQ,AMQ-3130,1,0
ActiveMQ,AMQ-3140,2,26
ActiveMQ,AMQ-3141,3,90
ActiveMQ,AMQ-3142,1,0
ActiveMQ,AMQ-3143,2,342
ActiveMQ,AMQ-3149,10,1595
ActiveMQ,AMQ-3153,7,1497
ActiveMQ,AMQ-3157,9,1272
ActiveMQ,AMQ-3160,1,0
ActiveMQ,AMQ-3161,3,372
ActiveMQ,AMQ-3162,2,525
ActiveMQ,AMQ-3167,12,1081
ActiveMQ,AMQ-3176,23,1596
ActiveMQ,AMQ-3180,2,28
ActiveMQ,AMQ-3181,5,963
ActiveMQ,AMQ-3182,4,1619
ActiveMQ,AMQ-3185,4,1447
ActiveMQ,AMQ-3187,1,0
ActiveMQ,AMQ-3190,4,373
ActiveMQ,AMQ-3193,19,1847
ActiveMQ,AMQ-3199,3,370
ActiveMQ,AMQ-3202,3,607
ActiveMQ,AMQ-3206,4,686
ActiveMQ,AMQ-3209,1,0
ActiveMQ,AMQ-3211,2,606
ActiveMQ,AMQ-3214,4,1616
ActiveMQ,AMQ-3220,7,1814
ActiveMQ,AMQ-3222,10,1923
ActiveMQ,AMQ-3238,5,1649
ActiveMQ,AMQ-3251,2,358
ActiveMQ,AMQ-3272,4,49
ActiveMQ,AMQ-3273,4,343
ActiveMQ,AMQ-3274,6,2169
ActiveMQ,AMQ-3275,2,4
ActiveMQ,AMQ-3276,20,1909
ActiveMQ,AMQ-3278,4,396
ActiveMQ,AMQ-3284,1,0
ActiveMQ,AMQ-3285,4,1031
ActiveMQ,AMQ-3288,32,1957
ActiveMQ,AMQ-3289,4,1957
ActiveMQ,AMQ-3292,6,1033
ActiveMQ,AMQ-3294,32,2323
ActiveMQ,AMQ-3301,6,867
ActiveMQ,AMQ-3303,1,0
ActiveMQ,AMQ-3306,1,0
ActiveMQ,AMQ-3310,4,386
ActiveMQ,AMQ-3312,14,1894
ActiveMQ,AMQ-3314,1,0
ActiveMQ,AMQ-3316,1,0
ActiveMQ,AMQ-3319,12,1670
ActiveMQ,AMQ-3325,3,474
ActiveMQ,AMQ-3331,12,2513
ActiveMQ,AMQ-3342,27,769
ActiveMQ,AMQ-3352,4,1338
ActiveMQ,AMQ-3353,9,1428
ActiveMQ,AMQ-3357,4,1528
ActiveMQ,AMQ-3374,14,2010
ActiveMQ,AMQ-3381,2,157
ActiveMQ,AMQ-3382,1,0
ActiveMQ,AMQ-3393,7,1347
ActiveMQ,AMQ-3401,1,0
ActiveMQ,AMQ-3404,5,1975
ActiveMQ,AMQ-3405,7,2055
ActiveMQ,AMQ-3414,3,727
ActiveMQ,AMQ-3422,5,1468
ActiveMQ,AMQ-3426,5,1516
ActiveMQ,AMQ-3427,3,517
ActiveMQ,AMQ-3430,3,1756
ActiveMQ,AMQ-3434,9,1015
ActiveMQ,AMQ-3435,1,0
ActiveMQ,AMQ-3447,4,2070
ActiveMQ,AMQ-3451,43,2463
ActiveMQ,AMQ-3454,15,2083
ActiveMQ,AMQ-3455,3,379
ActiveMQ,AMQ-3457,4,2031
ActiveMQ,AMQ-3459,2,1182
ActiveMQ,AMQ-3465,17,2117
